# M=22, N=11, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:48:41
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -1.530000000000E+00      2.030989831531E-01      1.190530827906E-01      9.217720359001E-02      7.948165561441E-02      7.184438774573E-02      6.650079826651E-02      6.239509556207E-02      5.904967411350E-02      5.621819455550E-02      5.375969828534E-02      3.336579655114E-01
     -1.520000000000E+00      2.007294988067E-01      1.171488314419E-01      9.065351151208E-02      7.820128343853E-02      7.073061162011E-02      6.551059035505E-02      6.150213339821E-02      5.823630654667E-02      5.547166323150E-02      5.307026399539E-02      3.315436212603E-01
     -1.510000000000E+00      1.983749105112E-01      1.152663253082E-01      8.914892743773E-02      7.693626394089E-02      6.962899586498E-02      6.453004995730E-02      6.061691558642E-02      5.742919435796E-02      5.473022848158E-02      5.238502082812E-02      3.294321282314E-01
     -1.500000000000E+00      1.960350246565E-01      1.134053057093E-01      8.766317920759E-02      7.568636621471E-02      6.853935906362E-02      6.355903506282E-02      5.973932663774E-02      5.662823790615E-02      5.399379887609E-02      5.170388056022E-02      3.273232591555E-01
     -1.490000000000E+00      1.937096628965E-01      1.115655254957E-01      8.619600595116E-02      7.445137073702E-02      6.746153098302E-02      6.259741461185E-02      5.886926189184E-02      5.583334834735E-02      5.326229376697E-02      5.102676568318E-02      3.252167997235E-01
     -1.480000000000E+00      1.913986609068E-01      1.097467479880E-01      8.474715713939E-02      7.323106842693E-02      6.639535162396E-02      6.164506755355E-02      5.800662660122E-02      5.504444676002E-02      5.253564246527E-02      5.035360864203E-02      3.231125476470E-01
     -1.470000000000E+00      1.891018672564E-01      1.079487460264E-01      8.331639173348E-02      7.202525979337E-02      6.534067035669E-02      6.070188198506E-02      5.715133509021E-02      5.426146333747E-02      5.181378347857E-02      4.968435112665E-02      3.210103118005E-01
     -1.460000000000E+00      1.868191423829E-01      1.061713011172E-01      8.190347741925E-02      7.083375416305E-02      6.429734513355E-02      5.976775436361E-02      5.630330998162E-02      5.348433664180E-02      5.109666380307E-02      4.901894341101E-02      3.189099114382E-01
     -1.450000000000E+00      1.845503576604E-01      1.044142026663E-01      8.050818991768E-02      6.965636898016E-02      6.326524177102E-02      5.884258878489E-02      5.546248148512E-02      5.271301291379E-02      5.038423826544E-02      4.835734373617E-02      3.168111754762E-01
     -1.440000000000E+00      1.822953945507E-01      1.026772472900E-01      7.913031236357E-02      6.849292917054E-02      6.224423329445E-02      5.792629632160E-02      5.462878674184E-02      5.194744543407E-02      4.967646891041E-02      4.769951773319E-02      3.147139418350E-01
     -1.430000000000E+00      1.800541438288E-01      1.009602381957E-01      7.776963474486E-02      6.734326656368E-02      6.123419933960E-02      5.701879441675E-02      5.380216922031E-02      5.118759393123E-02      4.897332443028E-02      4.704543788286E-02      3.126180568365E-01
     -1.420000000000E+00      1.778265048770E-01      9.926298462357E-02      7.642595339617E-02      6.620721936685E-02      6.023502560554E-02      5.612000632674E-02      5.298257815935E-02      5.043342403293E-02      4.827477963290E-02      4.639508300918E-02      3.105233746487E-01
     -1.410000000000E+00      1.756123850397E-01      9.758530134463E-02      7.509907054112E-02      6.508463168626E-02      5.924660335415E-02      5.522986060992E-02      5.216996805405E-02      4.968490675667E-02      4.758081494530E-02      4.574843780410E-02      3.084297567754E-01
